timestamp,bpm,quality,source,restorative
2024-07-12T14:19:47.000Z,51,,rest,TRUE
2024-07-12T14:24:47.000Z,52,,rest,TRUE
2024-07-12T14:29:47.000Z,50,,rest,TRUE
2024-07-12T14:34:47.000Z,50,,rest,TRUE
2024-07-12T14:39:47.000Z,51,,rest,TRUE
2024-07-12T14:44:47.000Z,52,,rest,TRUE
2024-07-12T14:49:47.000Z,51,,rest,TRUE
2024-07-12T14:54:47.000Z,52,,rest,TRUE
2024-07-12T14:59:47.000Z,53,,rest,TRUE
2024-07-12T15:04:47.000Z,54,,rest,TRUE
2024-07-12T15:09:47.000Z,51,,rest,TRUE
2024-07-12T15:14:47.000Z,49,,rest,TRUE
2024-07-12T15:19:47.000Z,50,,rest,TRUE
2024-07-12T15:24:47.000Z,51,,rest,TRUE
2024-07-12T15:29:47.000Z,52,,rest,TRUE
2024-07-12T15:34:47.000Z,51,,rest,TRUE
2024-07-12T15:39:47.000Z,51,,rest,TRUE
2024-07-12T15:44:47.000Z,51,,rest,TRUE
2024-07-12T15:49:47.000Z,53,,rest,TRUE
2024-07-12T15:59:47.000Z,52,,rest,TRUE
2024-07-12T16:04:47.000Z,52,,rest,TRUE
2024-07-12T16:09:47.000Z,52,,rest,TRUE
2024-07-12T16:14:47.000Z,53,,rest,TRUE
2024-07-12T16:19:47.000Z,55,,rest,TRUE
2024-07-12T16:24:47.000Z,51,,rest,TRUE
2024-07-12T16:29:47.000Z,51,,rest,TRUE
2024-07-12T16:34:47.000Z,51,,rest,TRUE
2024-07-12T16:39:47.000Z,52,,rest,TRUE
2024-07-12T16:44:47.000Z,54,,rest,TRUE
2024-07-12T16:49:47.000Z,51,,rest,TRUE
2024-07-12T16:54:47.000Z,50,,rest,TRUE
2024-07-12T16:59:47.000Z,51,,rest,TRUE
2024-07-12T17:04:47.000Z,52,,rest,TRUE
2024-07-12T17:09:47.000Z,51,,rest,TRUE
2024-07-12T17:14:47.000Z,51,,rest,TRUE
2024-07-12T17:19:47.000Z,54,,rest,TRUE
2024-07-12T17:24:47.000Z,59,,rest,TRUE
2024-07-12T17:29:47.000Z,56,,rest,TRUE
2024-07-12T17:34:47.000Z,53,,rest,TRUE
2024-07-12T17:39:47.000Z,52,,rest,TRUE
